,city_fixed,address_fixed,full_2,full_3
14731,Київ Школа №102,Київ вул. Шулявська 10/12, м.Київ  Шевченківський  Шевченківський район міста  вул. Шулявська  10/12, Шевченківський  Шевченківський район міста  вул. Шулявська  10/12
14732,Київ Школа №106,Київ вул. Некрасовська 4, м.Київ  Шевченківський  Шевченківський район міста  вул. Некрасовська  4, Шевченківський  Шевченківський район міста  вул. Некрасовська  4
14733,Київ Школа №135,Київ вул. М. Коцюбинського 12 Б, м.Київ  Шевченківський  Шевченківський район міста  вул. М. Коцюбинського  12 Б, Шевченківський  Шевченківський район міста  вул. М. Коцюбинського  12 Б
14734,Київ Школа №138,Київ вул. Січових Стрільців 27, м.Київ  Шевченківський  Шевченківський район міста  вул. Січових Стрільців  27, Шевченківський  Шевченківський район міста  вул. Січових Стрільців  27
14735,Київ Школа №139,Київ пров. Татарський 1, м.Київ  Шевченківський  Шевченківський район міста  пров. Татарський  1, Шевченківський  Шевченківський район міста  пров. Татарський  1
14736,Київ Школа №153,Київ вул. Чорновола 37, м.Київ  Шевченківський  Шевченківський район міста  вул. Чорновола  37, Шевченківський  Шевченківський район міста  вул. Чорновола  37
14737,Київ Школа №155,Київ вул. Січових Стрільців 5, м.Київ  Шевченківський  Шевченківський район міста  вул. Січових Стрільців  5, Шевченківський  Шевченківський район міста  вул. Січових Стрільців  5
14738,Київ Школа №163,Київ вул. Януша Корчака 30, м.Київ  Шевченківський  Шевченківський район міста  вул. Януша Корчака  30, Шевченківський  Шевченківський район міста  вул. Януша Корчака  30
14739,Київ Школа №169,Київ вул. Сальського 2, м.Київ  Шевченківський  Шевченківський район міста  вул. Сальського  2, Шевченківський  Шевченківський район міста  вул. Сальського  2
14740,Київ Школа №172,Київ вул. Ружинська 30-32, м.Київ  Шевченківський  Шевченківський район міста  вул. Ружинська  30-32, Шевченківський  Шевченківський район міста  вул. Ружинська  30-32
14741,Київ Школа №175,Київ вул. Данила Щербаківського 58А, м.Київ  Шевченківський  Шевченківський район міста  вул. Данила Щербаківського  58А, Шевченківський  Шевченківський район міста  вул. Данила Щербаківського  58А
14742,Київ Школа №199,Київ вул. Бакінська 12, м.Київ  Шевченківський  Шевченківський район міста  вул. Бакінська  12, Шевченківський  Шевченківський район міста  вул. Бакінська  12
14751,Київ Школа №8,Київ вул. Олегівська 42, м.Київ  Шевченківський  Шевченківський район міста  вул. Олегівська  42, Шевченківський  Шевченківський район міста  вул. Олегівська  42
14752,Київ Школа №20,Київ вул. Грекова 2, м.Київ  Шевченківський  Шевченківський район міста  вул. Грекова  2, Шевченківський  Шевченківський район міста  вул. Грекова  2
